"condition","subj_code","desktop_conf","attent_conf","structure","parameter","side_order","ba_check","ba_check_correct","instr_tests","bc_check","bc_check_correct","case_09","case_02","age","gender","tech_issues","PROLIFIC_PID","recorded_at"
1,"epHBsgqQSuzh","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,23,"1: male",NA,"6993486ca6420b453dae58eb",2026-03-02 12:39:19
1,"TJ2WJglQQJOw","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",60,25,45,"2: female",NA,"609c2dcbc88bdd19e0be4b98",2026-03-02 12:48:20
1,"9nUMXdC2VVM1","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,46,"1: male",NA,"5c0f500787e876000151fc5f",2026-03-02 13:21:16
1,"26E7dvcUEmvB","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,42,"1: male","No errors on my end.","69a58468235e25243e650ac7",2026-03-02 13:51:24
1,"qI1w4NbHYxLr","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,54,"2: female",NA,"65bd121aa3de43216d1886d4",2026-03-02 13:53:06
1,"K4md0NIM2skv","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,58,"1: male",NA,"69341c14fe52b900eb539e7f",2026-03-02 13:59:59
1,"kV0ogpoZ0gEp","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",81,52,20,"2: female",NA,"69260dfa4ec112681202f14a",2026-03-02 14:35:28
1,"o3cif8p9WXu1","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",27,6,54,"1: male",NA,"6266e277eeff2c06dec3116a",2026-03-02 19:00:42
1,"5DKBAaWqfPZv","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",50,50,27,"1: male",NA,"697e5950e2db3c312b6b9236",2026-03-02 19:00:52
1,"n8Szh8kRjh1i","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,33,"1: male",NA,"66645d8f536eb7e9c7a11989",2026-03-03 08:13:42
1,"qgLB9RHyxiRw","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,53,"1: male",NA,"668edb3b608a3d4537e2da08",2026-03-03 08:19:22
1,"Ka6J73jZiKhF","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",46,30,43,"2: female","Thanks ","5e9ffa9ee172201b04f1a4c6",2026-03-03 08:22:07
