"subj_code","condition","desktop_conf","attent_conf","comparison","order","case_1","case_2","subj_explanation","A_check","age","tech_issues","recorded_at"
"9YRqisDt51Fe",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"There is a 30% chance for birds that can produce the sound to find a mating partner.","correct",25,NA,2025-07-12 08:24:38
"2vurLCu4kuz5",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"Well, we can infer from both diagrams of the two population that a male bird that has the ability to produce a distinct sound has a 30 percent chance of finding a seasonal female mating partner, even when the factors involved are dependent or independent of each other.","correct",29,NA,2025-07-12 08:26:41
"WxIG6Vt66FZS",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",40,61,"For the western, 20% will have the hormone, then the probability will be 0.2 x 0.9 + 0.8 x 0.3 = 42%. Same calculus for Eastern will be around 60%","correct",43,NA,2025-07-12 08:30:46
"bmjDSOLceid5",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,90,"western has a 30% chance when they can make the sound. It doesnt matter if it has the gene or not.

Eastern - theres a 90% chance that the bird also has the gene which means it has a higher chance of also finding a partner","correct",29,NA,2025-07-12 08:44:26
"EPEUJ6aEbIPb",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,90,"The western bird only produces the sound, which gives him a 30% chance of finding a mate, whereas it is more common for the eastern bird to also produce the hormone, and so his chances increase to 90%.","correct",51,NA,2025-07-12 08:45:36
"u8KrsXp1hELC",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,90,"Its early in the morning so my brain is sleepy but it looks like having right hand side birds had a higher chance to attract mates due to the added bonus of sound and chemical balance where as the right hand side bird had the info on sound only?","correct",45,"all good!",2025-07-12 08:50:34
"jWTJy4bG2VwJ",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",22,11,"For the western population, starting with 100% of birds 20% would have the hormone. Of the 20%, 90% would mate. 
Route 1 - 90% of 20% = 18%

Also, starting with 100% of the population, 20% would have the mating call. Of those 30% would mate. Route 2 - 30% of 20% = 6%

The bird could be in both populations and the chance of this is 6% of 18% = 1.08%

Therefore the chance of the bird mating is 18% + 6% = 24% - subtract 1.08% = 22.96% 

For the eastern population
20% of birds have the hormone. Of the 20% a further 90% can make the sound, which is 18% of those 30% will mate
Route 1 - 30% of (90% of 20%) = 5.4%

20% of birds will make the sound, of those 30% will mate (same as western)
Route 2 - 30% of 20% = 6%

The bird could be in both populations 5.4% of 6% = 0.324%

Therefore the chance of the bird mating is 5.4% + 6% = 11.4% - 0.324% = 11.076%

I chose 22% on the slider for the western population - this was an error, I should have chosen 23 (rounded from 22.96%)

I chose 11% on the slider for the eastern population (rounded from 11.076)","correct",44,NA,2025-07-12 09:09:47
"Jwqc5wUYZrK8",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",20,0,"Western bird, i took the % from the dotted line leading to song and used that as my reference and for the eastern bird  i made the assumption that without more evidence relating to its hormone it was not possible to draw a sensible estimate.
Though in each case the likelihood is far higher than i indicated, as a significant number of the birds will have the hormone which will significantly increase their chance of reproductive success. The data shown does not describe the % likelihood of that.","correct",64,NA,2025-07-12 09:17:09
"DaaWEe6YcgUC",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",50,100,"The first bird had a guaranteed 30% and based on the probability of the other factors I ranked it's chances at 50/50.

The second bird was already guaranteed 90% probability and with the other factors coming into play it's odds were pretty much 100%","correct",34,NA,2025-07-12 09:17:48
"grc4pq037pia",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,81,"okey dokey... so for the first bird (the one from the Western side), I saw that he can make the special sound, which girls like. But I don’t know if he has the special hormone. In the Western group, the sound and hormone aren’t connected, so just because he can make the sound doesn’t mean he has the hormone. Since the sound gives him a 30% chance to get a mate, I picked 30.

the second bird (the Eastern one) also makes the sound. But over there the sound usually means the bird has the hormone too—like 90% of the time. The hormone gives you a big chance—90%—to get a mate. So most likely, he has both the sound and the hormone, which is really good. That’s why I said 84%, since it’s super likely he’ll get chosen.","correct",41,NA,2025-07-12 09:19:32
"vH5r9F8ty9hq",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",20,20,"Because only 20% of the birds are able to produce the high pitched sound","correct",63,NA,2025-07-12 10:03:10
