"condition","subj_code","desktop_conf","attent_conf","structure","parameter","side_order","ba_check","ba_check_correct","instr_tests","bc_check","bc_check_correct","case_09","case_02","age","gender","tech_issues","recorded_at"
1,"epHBsgqQSuzh","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,23,"1: male",NA,"2026-03-02 12:39:19"
1,"TJ2WJglQQJOw","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",60,25,45,"2: female",NA,"2026-03-02 12:48:20"
1,"9nUMXdC2VVM1","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,46,"1: male",NA,"2026-03-02 13:21:16"
1,"26E7dvcUEmvB","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,42,"1: male","No errors on my end.","2026-03-02 13:51:24"
1,"qI1w4NbHYxLr","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,54,"2: female",NA,"2026-03-02 13:53:06"
1,"K4md0NIM2skv","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,58,"1: male",NA,"2026-03-02 13:59:59"
1,"kV0ogpoZ0gEp","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",81,52,20,"2: female",NA,"2026-03-02 14:35:28"
1,"o3cif8p9WXu1","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",27,6,54,"1: male",NA,"2026-03-02 19:00:42"
1,"5DKBAaWqfPZv","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",50,50,27,"1: male",NA,"2026-03-02 19:00:52"
1,"n8Szh8kRjh1i","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,33,"1: male",NA,"2026-03-03 08:13:42"
1,"qgLB9RHyxiRw","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,53,"1: male",NA,"2026-03-03 08:19:22"
1,"Ka6J73jZiKhF","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",46,30,43,"2: female","Thanks ","2026-03-03 08:22:07"
1,"dBveMK0TMZEC","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",72,43,29,"1: male",NA,"2026-03-03 08:39:29"
1,"kIFLh1Y7lyuO","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,28,"1: male",NA,"2026-03-03 08:48:09"
1,"HYxa7EKcRy6o","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",100,100,50,"1: male",NA,"2026-03-03 08:50:29"
1,"z7WAyPP7KcxP","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",43,30,19,"1: male",NA,"2026-03-03 09:36:35"
2,"AE5z3UI96Xdz","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",27,5,37,"2: female",NA,"2026-03-02 12:30:42"
2,"0diaq7QiA6zy","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",30,30,80,"1: male",NA,"2026-03-02 12:47:33"
2,"n2yHtTqdjZwJ","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",89,20,74,"2: female",NA,"2026-03-02 12:48:51"
2,"bDUp7brzBiqu","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",90,90,41,"1: male","no errors","2026-03-02 12:53:44"
2,"7ZSM0u01UsTJ","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",30,30,46,"2: female",NA,"2026-03-02 13:36:44"
